NVIDIA GeForce RTX 3080 graphics card
Kingston HyperX Fury 16GB DDR4 RAM
Samsung 970 EVO 1TB NVMe SSD
AMD Ryzen 9 5900X CPU
ASUS ROG Zephyrus G14
MSI MPG B550 Gaming Plus motherboard
Logitech G502 HERO
Seagate Backup Plus Slim 2TB
Dell Optiplex 7010 desktop computer
Dell UltraSharp U2415 monitor stand
